dataset,split,seed,n_methods,n_unique_fingerprints,all_same_fingerprint
davis,cold_drug,0,6,6,False
davis,cold_drug,1,6,6,False
davis,cold_drug,2,6,6,False
davis,cold_drug,3,6,6,False
davis,cold_drug,4,6,6,False
davis,cold_pair,0,6,6,False
davis,cold_pair,1,6,5,False
davis,cold_pair,2,6,6,False
davis,cold_pair,3,6,5,False
davis,cold_pair,4,6,6,False
davis,cold_target,0,6,6,False
davis,cold_target,1,6,6,False
davis,cold_target,2,6,6,False
davis,cold_target,3,6,6,False
davis,cold_target,4,6,6,False
davis,random,0,6,5,False
davis,random,1,6,5,False
davis,random,2,6,5,False
davis,random,3,6,6,False
davis,random,4,6,6,False
kiba,cold_drug,0,6,6,False
kiba,cold_drug,1,6,6,False
kiba,cold_drug,2,6,6,False
kiba,cold_drug,3,6,6,False
kiba,cold_drug,4,6,6,False
kiba,cold_pair,0,6,6,False
kiba,cold_pair,1,6,6,False
kiba,cold_pair,2,6,6,False
kiba,cold_pair,3,6,6,False
kiba,cold_pair,4,6,6,False
kiba,cold_target,0,6,6,False
kiba,cold_target,1,6,6,False
kiba,cold_target,2,6,6,False
kiba,cold_target,3,6,6,False
kiba,cold_target,4,6,6,False
kiba,random,0,6,6,False
kiba,random,1,6,6,False
kiba,random,2,6,6,False
kiba,random,3,6,5,False
kiba,random,4,6,6,False
